name,company_name,salary,city,experience,education,job_desc
Python,腾讯,20000-30000元,深圳,3-5年,本科,"负责大规模运维系统开发，包括cmdb，发布，监控，容量管理等
具备分布式系统架构能力
熟悉python/golang 后端开发"
python,软通动力,10000-20000元,深圳,3-5年,本科,"1、熟悉Python定时任务框架：APScheduler,celery
2、熟悉python开发框架：Scrapy shell
3，熟悉多线程编程，linux/flask/diango/tornado/redis/
4，统招二本及以上学历。
                            
Ø  具有竞争力的薪酬，补贴，项目绩效奖金，年度调薪机会；
Ø  五天8小时工作制，周末双休，节假日按照国家标准；
Ø  入职即享受五险一金，年度免费体检；
Ø  法定规定年休假、婚假、产假、病丧假；
Ø  充满活力和创造力的工作环境，良好的职业发展舞台；
Ø  定期部门、协会建设活动，节假日礼物；"
python,软通动力信息技术集团,8000-13000元,深圳,1-3年,本科,"掌握python基础以及常用的的python库；
掌握Linux系统
熟悉PYTHON开发，大型软件系统
                            
宽松氛围，积极进取"
python,中软国际,8000-16000元,深圳,1年以内,本科,"1.一年以上的python开发工作经验；
2、熟悉Linux环境，能够独立做shell编程；
3.全日制统招本科学历（17年及其以前毕业，应届毕业生及大专学历的勿扰哦）"
Python爬虫,软通动力,15000-30000元,深圳,3-5年,本科,"工作职责，
1．  Python 定时任务框架：Apscheduler，celery
2．  Python 爬虫框架，目前主要框架是Scrapy+redis
3．  熟悉：flask、diongo、tornado框架
4．  目前操作系统suse、欧拉
5．  数据库：mysql、redis、mongoDB、neo4J
 
项目背景：
搭建环境、大数据文件处理"
python（南山）,中软国际,9000-12000元,深圳,1-3年,本科,"1、负责安全产品的后端开发；
2、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案；
岗位要求：
1、2年以上开发经验，能够熟练使用python语言；
2、熟悉Linux，能进行基本的常用操作；
3、熟悉网络HTTP、TCP等网络协议，熟悉网络编程；
4、具有OA、CRM等系统开发经验者优先
5、责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学。
                            
团队"
python工程师,软通动力,15000-25000元,深圳,经验不限,本科,"1.熟悉python 开发，理解IO,多线程，集合等基础框架，对JVM原理有一定了解。
2.熟悉J2EE WEB/HTML/CSS等技术，对各种开源框架如Sprint/Hibernate/ibatis/struts等有深入的应用和优化经验。
3.熟悉Linux配置和Shell使用，熟练数据库（Mysql，MS SQL SERVER使用，设计，调优）"
Python,富士康,8000-16000元,深圳,经验不限,本科,"1. 具备2年以上Python开发经验，参与过大型高并发网站开发及实施工作；2. 精通Python开发语言，熟练使用常用模块，熟悉Python多线程、携程、多进程开发；3. 精通Django/Tornado等框架,有使用框项目开发经验（web或restful API）；4. 熟悉MySQL,Redis Memcache、MongoDB、PostgreSQL等数据库使用，存储设计及优化，有时序数据库开发经验者优先；5. 熟悉MQTT消息队列服务，拥有RabbitMQ、ActiveMQ、ZeroMQ开发经验；6. 具有良好的自学能力，能通过研究开源项目来解决工作中遇到的问题；7. 熟悉 http、Websocket、TCP/IP协议相关知识；8. 熟悉web前端开发技术HTML、CSS、JAVAScript、JQuery、Bootstrap；9. 有规则引擎设计及开发经验者优先；10. 熟悉微服务框架（SpringCloud）开发经验者优先；11. 有大数据梳理、建模及ETL开发者优先 工作内容:1.负责平台WEB开发及优化2.数据存储设计及优化、3.数据解析ETL开发4.微服务开发"
Python讲师,千锋互联,13000-18000元,深圳,3-5年,大专,"岗位职责：
1、负责Python课程体系设计和完善；
2、负责Python课程爬虫/数据分析/网站开发的课程讲授；
3、按进度完成教学任务；
4、参与学术交流与研讨，不断提升业务水平任职资格；
5、按照课程大纲要求，严格管理学生，保证教学和学生学习质量；
6、完成领导交办的其它工作。
岗位要求：
1. 至少3年以上Python编程经验；
2. 熟练运用Python语言及常用模块；
3. 熟悉django等常用开发框架；
4. 熟悉Mysql, oracle数据库中任何一种；
5. 熟悉HTTP, Javascript, HTML。
6. 熟悉树莓派设备python开发
7.  熟悉python机器学习实战
8. 精通Linux下Shell、Python两种脚本语言；
9. 精通基于Linux应用程序的管理和配置，如Tomcat、Redis、Zookeeper、Jdk、Nginx、LVS、FastDFS、GFS等；"
Python,中软国际,8000-9000元,深圳,1-3年,本科,"1、熟练使用python开发语言和相关调试工具，熟悉linux操作系统。
2、熟练掌握server端开发技能，有二年以上项目开发经验。
3、熟练使用php语言的优先，熟练使用centos系统的优先。
4、熟悉消息队列、微服务，有云计算经验的优先。
5、熟悉虚拟化计算，虚拟化网络或虚拟化存储知识，具有一定开发技能的优先。
5. 有内核研发经历的优先；
6. 具有良好的沟通协调能力 、较强的团队合作精神、优秀的执行能力、强烈的责任心和敬业精神，能吃苦耐劳；
7. 有很强的学习能力，以及分析和解决问题的能力
                            
中软国际有限公司是根植中国、服务全球的IT服务提供商，致力于为遍及全球的客户提供全面的服务，打造中国智造综合平台。集团业务涵盖以咨询为驱动的解决方案、以专业化为准则的ITO和BPO外包服务IT服务外包以及业务流程外包。中软国际将继续秉承“创造、分享，共成长”的理念，成为全球IT伙伴实现梦想的理想桥梁。"
